"replication","n","tau","kappa","estimator","alpha_true","alpha_hat","bias","abs_error","squared_error","W_true","covered","rejected_true","cr_length","cr_any_accepted","cr_all_accepted","cr_left_boundary_accepted","cr_right_boundary_accepted","cr_n_components_grid","point_left_boundary","point_right_boundary","n_W_success","n_W_failure","status"
1,500,0.1,1,"Oracle-GMM",-0.281551565544601,-0.2,0.0815515655446009,0.0815515655446009,0.00665065784277533,1.73543636644356,TRUE,FALSE,0.65,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,86,0,"OK"
1,500,0.1,1,"Full-GMM",-0.281551565544601,0.1,0.381551565544601,0.381551565544601,0.145581597169536,6.09134365749078,FALSE,TRUE,1.45,TRUE,FALSE,FALSE,FALSE,6,FALSE,FALSE,86,0,"OK"
1,500,0.1,1,"DML-IVQR",-0.281551565544601,-0.2,0.0815515655446009,0.0815515655446009,0.00665065784277533,0.122596566441249,TRUE,FALSE,1.6,TRUE,FALSE,FALSE,FALSE,5,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.281551565544601,-0.3,-0.0184484344553991,0.0184484344553991,0.000340344733855157,0.371007647699664,TRUE,FALSE,1.65,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.5,"Full-GMM",-0.281551565544601,0.2,0.481551565544601,0.481551565544601,0.231891910278456,1.10945919722487,TRUE,FALSE,2,TRUE,FALSE,FALSE,FALSE,14,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.5,"DML-IVQR",-0.281551565544601,0.2,0.481551565544601,0.481551565544601,0.231891910278456,0.333861131053483,TRUE,FALSE,2.775,TRUE,FALSE,FALSE,TRUE,7,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.25,"Oracle-GMM",-0.281551565544601,-0.1,0.181551565544601,0.181551565544601,0.0329609709516955,0.484334614000602,TRUE,FALSE,3.525,TRUE,FALSE,TRUE,FALSE,4,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.25,"Full-GMM",-0.281551565544601,2.9,3.1815515655446,3.1815515655446,10.1222703642193,5.59123257380781,TRUE,FALSE,3.8,TRUE,FALSE,TRUE,TRUE,5,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.25,"DML-IVQR",-0.281551565544601,-0.3,-0.0184484344553991,0.0184484344553991,0.000340344733855157,0.421612223882116,TRUE,FALSE,3.625,TRUE,FALSE,FALSE,TRUE,6,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.281551565544601,-0.4,-0.118448434455399,0.118448434455399,0.014030031624935,0.898158858032815,TRUE,FALSE,4,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.1,"Full-GMM",-0.281551565544601,-0.3,-0.0184484344553991,0.0184484344553991,0.000340344733855157,1.27041801353961,TRUE,FALSE,3.85,TRUE,FALSE,TRUE,TRUE,4,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.281551565544601,-0.1,0.181551565544601,0.181551565544601,0.0329609709516955,0.685675493040902,TRUE,FALSE,3.95,TRUE,FALSE,TRUE,TRUE,2,FALSE,FALSE,86,0,"OK"
1,500,0.25,1,"Oracle-GMM",0.325510249803918,0.4,0.0744897501960818,0.0744897501960818,0.00554872288427467,0.807952977133416,TRUE,FALSE,0.4,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,86,0,"OK"
1,500,0.25,1,"Full-GMM",0.325510249803918,0.6,0.274489750196082,0.274489750196082,0.0753446229627074,0.284220781577879,TRUE,FALSE,0.7,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,86,0,"OK"
1,500,0.25,1,"DML-IVQR",0.325510249803918,0.3,-0.0255102498039183,0.0255102498039183,0.000650772845058311,0.595106897395487,TRUE,FALSE,0.45,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,86,0,"OK"
1,500,0.25,0.5,"Oracle-GMM",0.325510249803918,0.4,0.0744897501960818,0.0744897501960818,0.00554872288427467,0.364144936363428,TRUE,FALSE,1.05,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,86,0,"OK"
1,500,0.25,0.5,"Full-GMM",0.325510249803918,0.3,-0.0255102498039183,0.0255102498039183,0.000650772845058311,0.564491468080637,TRUE,FALSE,0.9,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,86,0,"OK"
1,500,0.25,0.5,"DML-IVQR",0.325510249803918,0.3,-0.0255102498039183,0.0255102498039183,0.000650772845058311,0.0238431976507153,TRUE,FALSE,1.15,TRUE,FALSE,FALSE,FALSE,4,FALSE,FALSE,86,0,"OK"
1,500,0.25,0.25,"Oracle-GMM",0.325510249803918,0.4,0.0744897501960818,0.0744897501960818,0.00554872288427467,0.242838734499669,TRUE,FALSE,3.525,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,86,0,"OK"
1,500,0.25,0.25,"Full-GMM",0.325510249803918,0.2,-0.125510249803918,0.125510249803918,0.0157528228058419,0.589970357960151,TRUE,FALSE,2.9,TRUE,FALSE,FALSE,FALSE,9,FALSE,FALSE,86,0,"OK"
1,500,0.25,0.25,"DML-IVQR",0.325510249803918,0.5,0.174489750196082,0.174489750196082,0.030446672923491,1.20985084475547,TRUE,FALSE,3.425,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,86,0,"OK"
1,500,0.25,0.1,"Oracle-GMM",0.325510249803918,1.6,1.27448975019608,1.27448975019608,1.62432412335487,0.184723106052378,TRUE,FALSE,4,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,86,0,"OK"
1,500,0.25,0.1,"Full-GMM",0.325510249803918,1.6,1.27448975019608,1.27448975019608,1.62432412335487,1.16927134406661,TRUE,FALSE,3.95,TRUE,FALSE,TRUE,TRUE,2,FALSE,FALSE,86,0,"OK"
1,500,0.25,0.1,"DML-IVQR",0.325510249803918,2.5,2.17448975019608,2.17448975019608,4.72840567370782,1.05857032863939,TRUE,FALSE,3.95,TRUE,FALSE,TRUE,TRUE,2,FALSE,FALSE,86,0,"OK"
1,500,0.5,1,"Oracle-GMM",1,1,0,0,0,0.422045130179853,TRUE,FALSE,0.4,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,81,0,"OK"
1,500,0.5,1,"Full-GMM",1,1,0,0,0,0.949005100665558,TRUE,FALSE,0.7,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,81,0,"OK"
1,500,0.5,1,"DML-IVQR",1,1,0,0,0,0.267235051926292,TRUE,FALSE,0.45,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,81,0,"OK"
1,500,0.5,0.5,"Oracle-GMM",1,1.2,0.2,0.2,0.0400000000000001,0.700306751352646,TRUE,FALSE,0.9,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,81,0,"OK"
1,500,0.5,0.5,"Full-GMM",1,1,0,0,0,1.31613229995047,TRUE,FALSE,1.25,TRUE,FALSE,FALSE,FALSE,4,FALSE,FALSE,81,0,"OK"
1,500,0.5,0.5,"DML-IVQR",1,1.2,0.2,0.2,0.0400000000000001,1.3154624583653,TRUE,FALSE,1.35,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,81,0,"OK"
1,500,0.5,0.25,"Oracle-GMM",1,1,0,0,0,0.525247971548801,TRUE,FALSE,3.725,TRUE,FALSE,TRUE,FALSE,3,FALSE,FALSE,81,0,"OK"
1,500,0.5,0.25,"Full-GMM",1,0.5,-0.5,0.5,0.25,1.16924915149645,TRUE,FALSE,2.65,TRUE,FALSE,FALSE,FALSE,6,FALSE,FALSE,81,0,"OK"
1,500,0.5,0.25,"DML-IVQR",1,1.2,0.2,0.2,0.0400000000000001,1.24725672972111,TRUE,FALSE,3.975,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,81,0,"OK"
1,500,0.5,0.1,"Oracle-GMM",1,1.2,0.2,0.2,0.0400000000000001,0.489049794492844,TRUE,FALSE,4,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,81,0,"OK"
1,500,0.5,0.1,"Full-GMM",1,0.6,-0.4,0.4,0.16,2.41555325112266,TRUE,FALSE,3.625,TRUE,FALSE,TRUE,FALSE,3,FALSE,FALSE,81,0,"OK"
1,500,0.5,0.1,"DML-IVQR",1,1.3,0.3,0.3,0.0900000000000002,1.69723573285671,TRUE,FALSE,4,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,81,0,"OK"
1,500,0.75,1,"Oracle-GMM",1.67448975019608,1.8,0.125510249803919,0.125510249803919,0.0157528228058421,1.45159470986851,TRUE,FALSE,0.35,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,86,0,"OK"
1,500,0.75,1,"Full-GMM",1.67448975019608,1.4,-0.274489750196081,0.274489750196081,0.0753446229627071,3.38265915883561,TRUE,FALSE,0.8,TRUE,FALSE,FALSE,FALSE,4,FALSE,FALSE,86,0,"OK"
1,500,0.75,1,"DML-IVQR",1.67448975019608,1.7,0.0255102498039186,0.0255102498039186,0.000650772845058328,1.54261776663365,TRUE,FALSE,0.45,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,86,0,"OK"
1,500,0.75,0.5,"Oracle-GMM",1.67448975019608,1.9,0.225510249803919,0.225510249803919,0.0508548727666258,4.94284136917793,TRUE,FALSE,0.8,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,86,0,"OK"
1,500,0.75,0.5,"Full-GMM",1.67448975019608,1,-0.674489750196082,0.674489750196082,0.454936423119573,3.26173239700939,TRUE,FALSE,2.45,TRUE,FALSE,FALSE,FALSE,10,FALSE,FALSE,86,0,"OK"
1,500,0.75,0.5,"DML-IVQR",1.67448975019608,1.2,-0.474489750196081,0.474489750196081,0.22514052304114,6.23556264550606,FALSE,TRUE,1.05,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,86,0,"OK"
1,500,0.75,0.25,"Oracle-GMM",1.67448975019608,2,0.325510249803918,0.325510249803918,0.105956922727409,3.13540976463731,TRUE,FALSE,2.85,TRUE,FALSE,TRUE,TRUE,6,FALSE,FALSE,86,0,"OK"
1,500,0.75,0.25,"Full-GMM",1.67448975019608,1.2,-0.474489750196081,0.474489750196081,0.22514052304114,2.2302861081069,TRUE,FALSE,3.475,TRUE,FALSE,FALSE,TRUE,8,FALSE,FALSE,86,0,"OK"
1,500,0.75,0.25,"DML-IVQR",1.67448975019608,2,0.325510249803918,0.325510249803918,0.105956922727409,4.94540837039292,TRUE,FALSE,2.625,TRUE,FALSE,TRUE,FALSE,6,FALSE,FALSE,86,0,"OK"
1,500,0.75,0.1,"Oracle-GMM",1.67448975019608,2.5,0.825510249803918,0.825510249803918,0.681467172531328,2.46277056880484,TRUE,FALSE,3.95,TRUE,FALSE,TRUE,TRUE,2,FALSE,FALSE,86,0,"OK"
1,500,0.75,0.1,"Full-GMM",1.67448975019608,0,-1.67448975019608,1.67448975019608,2.80391592351174,1.34933243597123,TRUE,FALSE,3.7,TRUE,FALSE,TRUE,TRUE,7,FALSE,FALSE,86,0,"OK"
1,500,0.75,0.1,"DML-IVQR",1.67448975019608,2.3,0.625510249803919,0.625510249803919,0.391263072609761,4.75563044310531,TRUE,FALSE,3.35,TRUE,FALSE,TRUE,TRUE,5,FALSE,FALSE,86,0,"OK"
1,500,0.9,1,"Oracle-GMM",2.2815515655446,2.4,0.1184484344554,0.1184484344554,0.0140300316249351,0.0165790222178614,TRUE,FALSE,1.15,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,86,0,"OK"
1,500,0.9,1,"Full-GMM",2.2815515655446,0.5,-1.7815515655446,1.7815515655446,3.17392598069442,10.9852808484721,FALSE,TRUE,2.525,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,86,0,"OK"
1,500,0.9,1,"DML-IVQR",2.2815515655446,2.1,-0.181551565544601,0.181551565544601,0.0329609709516955,1.43713307412821,TRUE,FALSE,0.95,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,86,0,"OK"
1,500,0.9,0.5,"Oracle-GMM",2.2815515655446,2.4,0.1184484344554,0.1184484344554,0.0140300316249351,0.647184467254106,TRUE,FALSE,3.675,TRUE,FALSE,FALSE,TRUE,4,FALSE,FALSE,86,0,"OK"
1,500,0.9,0.5,"Full-GMM",2.2815515655446,1,-1.2815515655446,1.2815515655446,1.64237441514982,1.73441739084531,TRUE,FALSE,3.425,TRUE,FALSE,TRUE,FALSE,8,FALSE,FALSE,86,0,"OK"
1,500,0.9,0.5,"DML-IVQR",2.2815515655446,2,-0.281551565544601,0.281551565544601,0.0792712840606156,3.55425938482541,TRUE,FALSE,1.35,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,86,0,"OK"
1,500,0.9,0.25,"Oracle-GMM",2.2815515655446,2.1,-0.181551565544601,0.181551565544601,0.0329609709516955,0.310378353836934,TRUE,FALSE,4,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,86,0,"OK"
1,500,0.9,0.25,"Full-GMM",2.2815515655446,0.5,-1.7815515655446,1.7815515655446,3.17392598069442,0.454623900803876,TRUE,FALSE,3.575,TRUE,FALSE,TRUE,FALSE,7,FALSE,FALSE,86,0,"OK"
1,500,0.9,0.25,"DML-IVQR",2.2815515655446,1.6,-0.681551565544601,0.681551565544601,0.464512536496296,2.5893420618587,TRUE,FALSE,2.125,TRUE,FALSE,FALSE,TRUE,4,FALSE,FALSE,86,0,"OK"
1,500,0.9,0.1,"Oracle-GMM",2.2815515655446,2,-0.281551565544601,0.281551565544601,0.0792712840606156,0.246205203975592,TRUE,FALSE,4,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,86,0,"OK"
